Key,Source,Translation
msg_0,"[color(yellow)]受付嬢[color(white)]
あ、舞耶。
友達なら、まだ見えてないわよ。
[wait][clear][end]",
msg_1,"[color(yellow)]うらら[color(white)]
チャ～オ、マーヤ。
んじゃ、気ばって行くかんねぇ～
絶っ対、イイ男捕まえんのよ！
[sync][wait][clear][end]",
msg_2,"[color(yellow)]芹沢うらら（せりざわうらら）[color(green)]
女性用下着メーカーに勤める、舞耶の親友。
占い好きの化粧美人で、
男運が悪いことを気に病んでいる。
[sync][wait][clear][end]",
msg_3,"[color(yellow)]うらら[color(white)]
なにぃ～！？
仕事で行けなくなったぁ～！？
[sync][wait][clear][end]",
msg_4,"[color(yellow)]うらら[color(white)]
ちょっとアンタ、
初めっから行く気なかったんじゃないの！？
[sync][wait][clear][end]",
msg_5,"[color(yellow)]うらら[color(white)]
あ、わかった。
例のデジャ・ヴュの少年が気になってんでしょ？
かぁ～やめときなって！
[sync][wait][clear][end]",
msg_6,"[color(yellow)]うらら[color(white)]
大体、なんで駅前で１回ぶつかっただけの年下に、
そんなに入れ込むかねぇ～
いくら、前に会った気がするったってさぁ…
[sync][wait][clear][end]",
msg_7,"[color(yellow)]うらら[color(white)]
なに、本当に仕事なの？
七姉妹学園で、ＪＯＫＥＲの噂取材？
[sync][wait][clear][end]",
msg_8,"[color(yellow)]うらら[color(white)]
あ～もう、しゃーないな、ホレ！
ちゃっちゃっと済ませば、まだ間に合うわ。
手伝ってあげっから、急ぐのよぅ！！
[sync][wait][clear][end]",
msg_9,"[color(yellow)]うらら[color(white)]
ホラ見てみ、ワンロン占いでも
「今日は運命の出会いの日」って出てんのよ。
絶対、パーティ行くかんね！
[sync][wait][clear][end]",
msg_10,"[color(yellow)]受付嬢[color(white)]
どうしたの舞耶？へぇ～
取材で、お見合いパーティー行けなくなったの？
あのお局様、ほんとイジワルよねぇ。
[wait][clear][end]",
msg_11,"[color(yellow)]非常口[color(green)]
ここには入れない。[color(white)]
[sync][wait][clear][end]",
