"location","source","target"
"msg_0","[color(yellow)][tatsuya][color(white)]
[end]",""
"msg_1","リサ…！
[end]","リサ…！
[end]"
"msg_2","ギンコ…！
[end]","ギンコ…！
[end]"
"msg_3","[sync][wait][clear][end]","[sync][wait][clear][end]"
"msg_4","[color(yellow)]シャドウ舞耶[color(white)]
安心した？ボウヤ。
でも、簡単に返すわけにはいかないの。
[sync][wait][clear][end]","[color(yellow)]シャドウ舞耶[color(white)]
安心した？ボウヤ。
でも、簡単に返すわけにはいかないの。
[sync][wait][clear][end]"
"msg_5","[color(yellow)]シャドウパオフゥ[color(white)]
へへ…そういうわけなんでなぁ…
俺様がたっぷり可愛がっといてやるから、
安心して死にな。
[sync][wait][clear][end]","[color(yellow)]シャドウパオフゥ[color(white)]
へへ…そういうわけなんでなぁ…
俺様がたっぷり可愛がっといてやるから、
安心して死にな。
[sync][wait][clear][end]"
"msg_6","[color(yellow)]舞耶[color(white)]
………
[sync][wait][clear][end]",""
"msg_7","[color(yellow)]パオフゥ[color(white)]
ガキ嬲って喜んでねぇで、さっさと来な…
[end]","[color(yellow)]パオフゥ[color(white)]
ガキ嬲って喜んでねぇで、さっさと来な…
[end]"
"msg_8","てめぇの相手は俺だ…
[sync][wait][clear][end]","てめぇの相手は俺だ…
[sync][wait][clear][end]"
"msg_9","[color(yellow)]シャドウ舞耶[color(white)]
フフフ…
笑わせるわねぇ～？
[sync][wait][clear][end]",""
"msg_10","[color(yellow)]シャドウパオフゥ[color(white)]
ああ、笑わせやがるぜぇ！！
[sync][wait][clear][end]",""
"msg_11","[color(yellow)]リサ[color(white)]
情人（チンヤン）！？
[sync][wait][clear][end]","[color(yellow)]リサ[color(white)]
情人（チンヤン）！？
[sync][wait][clear][end]"
"msg_12","[color(yellow)][tatsuya][color(white)]
[end]","[color(yellow)][tatsuya][color(white)]
[end]"
"msg_13","リサ…じっとしてろ！
[end]","リサ…じっとしてろ！
[end]"
"msg_14","ギンコ…じっとしてろ！
[end]","ギンコ…じっとしてろ！
[end]"
"msg_15","今降ろしてやる…
[wait][clear][end]","今降ろしてやる…
[wait][clear][end]"
"msg_16","[color(yellow)]シャドウ舞耶[color(white)]
惜しかったわねぇ…
もう思い出しちゃったって。
[wait][clear][end]","[color(yellow)]シャドウ舞耶[color(white)]
惜しかったわねぇ…
もう思い出しちゃったって。
[wait][clear][end]"
"msg_17","[color(yellow)]シャドウパオフゥ[color(white)]
もう諦めちゃどうだ、ええ？
そんな女々しく生きてたって仕方ねぇだろうが！
死んじまえよ。
[wait][clear][end]","[color(yellow)]シャドウパオフゥ[color(white)]
もう諦めちゃどうだ、ええ？
そんな女々しく生きてたって仕方ねぇだろうが！
死んじまえよ。
[wait][clear][end]"
"msg_18","[color(yellow)]舞耶[color(white)]
………
[wait][clear][end]","[color(yellow)]舞耶[color(white)]
………
[wait][clear][end]"
"msg_19","[color(yellow)]パオフゥ[color(white)]
できねぇな…
やることがもう一つ増えちまった…
[end]","[color(yellow)]パオフゥ[color(white)]
できねぇな…
やることがもう一つ増えちまった…
[end]"
"msg_20","てめぇらの親方をぶっ殺すまではな！
[sync][wait][clear][end]","てめぇらの親方をぶっ殺すまではな！
[sync][wait][clear][end]"
"msg_21","[color(yellow)]シャドウ舞耶[color(white)]
フフフ…
笑わせるわねぇ～？
[sync][wait][clear][end]","[color(yellow)]シャドウ舞耶[color(white)]
フフフ…
笑わせるわねぇ～？
[sync][wait][clear][end]"
"msg_22","[color(yellow)]シャドウパオフゥ[color(white)]
ああ、笑わせやがるぜぇ！！
[sync][wait][clear][end]","[color(yellow)]シャドウパオフゥ[color(white)]
ああ、笑わせやがるぜぇ！！
[sync][wait][clear][end]"
