"location","source","target"
"msg_0","[color(yellow)]うらら[color(white)]
ここっていつ来ても快適よねー。
どっかに空調でも付いてんのかしら？
…って、そもそも電気が来てるのかしら？
[wait][clear][end]","[color(yellow)]우라라[color(white)]
여긴 언제 와도 쾌적하네.
어디 에어컨이라도 설치되어 있는 걸까?
…아니, 애초에 전기가 들어오는 걸까?
[wait][clear][end]"
"msg_1","[color(yellow)]克哉[color(white)]
ペルソナ…心の中のもう一人の自分を具現化したもの…
この力を持つ人間は、この世にどれだけいるんだろうか。
この力は、どれだけ犯罪に使われているんだろうか…
[wait][clear][end]","[color(yellow)]카츠야[color(white)]
페르소나…마음의 바다의 또 다른 자신을 구현화한 것…
이 힘을 가진 사람은 이 세상에 얼마나 많이 있는 걸까.
이 힘은 얼마나 많이 범죄에 사용되고 있는 걸까…
[wait][clear][end]"
"msg_2","[color(yellow)]パオフゥ[color(white)]
芹沢の奴、馴染み過ぎだな…緊張感を無くすと死ぬぜ。
後でお前からなんか言ってやれ。
…周防みたいに悩みすぎるのも、良かぁねぇけどな。
[wait][clear][end]","[color(yellow)]파오후[color(white)]
세리자와 녀석, 너무 익숙하게 굴잖아…긴장 풀면 죽을 거라고.
나중에 너도 한마디 해줘.
…스오우처럼 너무 끙끙대는 것도 안 좋지만 말야.
[wait][clear][end]"
"msg_3","[color(yellow)]南条[color(white)]
イここの風景はいつ来ても変わらない…
そのせいか、ふと昔の苦労を思い出す事があります。
悪魔に演説し、時には物で釣り…本当に苦労しました。
[wait][clear][end]","[color(yellow)]난조[color(white)]
이곳 풍경은 언제 와도 변하지 않는군요…
그래서인지 문득 옛날에 고생했던 기억이 납니다.
악마에게 연설하기도 하고, 때로는 물품으로 꾀어내고…정말 고생이었죠.
[wait][clear][end]"
"msg_4","[color(yellow)]エリー[color(white)]
こちらの方々、お食事はどうなさってるのでしょうか。
Ｂｉｓｓｉｎｅｓの関係で、お菓子をいただくのですが、
持ってきたら喜んでいただけるかしら。
[wait][clear][end]","[color(yellow)]에리[color(white)]
여기 계신 분들은 식사는 어떻게 하고 계신 걸까요?
Business를 하다보면 과자를 받곤 하는데,
가져오면 좋아하실까요?
[wait][clear][end]"
"msg_5","[color(yellow)][tatsuya][color(white)]
いつかもし、償いを済ませることがあったら、
俺は、ペルソナを…どうするのか…
この部屋を訪れることはあるんだろうか…
[wait][clear][end]","[color(yellow)][tatsuya][color(white)]
만약 언젠가 속죄를 끝마치게 된다면
난 페르소나를…어떻게 할까…
이 방을 다시 찾는 일이 있을까…
[wait][clear][end]"
"msg_6","[color(yellow)]イゴール[color(white)]
おや？
新しい姿に生まれ変わろうとしている
ペルソナがいるようですな。
[sync][wait][clear][end]","[color(yellow)]이고르[color(white)]
이런?
새로운 모습으로 거듭나려 하고 있는
페르소나가 있는 모양이군요.
[sync][wait][clear][end]"
"msg_7","[color(yellow)]イゴール[color(white)]
おっと、説明するのを忘れていましたが…
[sync][wait][clear][end]","[color(yellow)]이고르[color(white)]
이거 참, 설명하는 것을 잊고 있었습니다만…
[sync][wait][clear][end]"
"msg_8","[color(yellow)]イゴール[color(white)]
合体スキルというものを、ご存じですかな？
これを使うと、たまにペルソナが突然変異を
起こすことがあります。
[sync][wait][clear][end]","[color(yellow)]이고르[color(white)]
합체 스킬이라는 것에 대해 알고 계십니까?
이것을 사용하면 가끔 페르소나가 돌연변이를
일으킬 때가 있습니다.
[sync][wait][clear][end]"
"msg_9","[color(yellow)]イゴール[color(white)]
それは基本能力の上昇であったり、新しい
スキルの取得であったりするのですが、中には
別のペルソナに生まれ変わる場合もあります。
[sync][wait][clear][end]","[color(yellow)]이고르[color(white)]
기본 능력이 상승하기도,
새로운 스킬을 습득하기도 하는데, 그중에는
다른 페르소나로 다시 태어나는 경우도 있습니다.
[sync][wait][clear][end]"
"msg_10","[color(yellow)]イゴール[color(white)]
ただ、この場合は、私の手助けが
必要となりますので、ペルソナにこのような変化が
起こった場合は私の所へおいでください。
[sync][wait][clear][end]","[color(yellow)]이고르[color(white)]
단, 이 경우는 제 도움이 필요하니
페르소나에게 이런 변화가
일어날 때는 제게 찾아와 주십시오.
[sync][wait][clear][end]"
"msg_11","[color(yellow)]イゴール[color(white)]
もちろん、
必ず変異させねばならないわけでは
ありません。
[sync][wait][clear][end]","[color(yellow)]이고르[color(white)]
물론, 반드시
변이를 시켜야 하는 것은
아닙니다.
[sync][wait][clear][end]"
"msg_12","[color(yellow)]イゴール[color(white)]
変異後のペルソナはランク１に
戻ってしまいますから、変異させるかどうかは、
あなた方自身で判断してください。
[sync][wait][clear][end]","[color(yellow)]이고르[color(white)]
변이 후의 페르소나는 랭크1로
돌아가 버리기에, 변이시킬지 여부는
당신들 스스로 판단해 주십시오.
[sync][wait][clear][end]"
"msg_13","[color(yellow)]イゴール[color(white)]
そうそう、[delay(15)]変異後のペルソナと同じペルソナが
既にいるような場合、変異させられないことも
ありますので、注意が必要ですぞ。
[sync][wait][clear][end]","[color(yellow)]이고르[color(white)]
그렇지, [delay(15)]변이 후의 페르소나와 같은 페르소나가
이미 있는 경우 변이시키지 못하는 일도
있으니 주의가 필요합니다.
[sync][wait][clear][end]"
