"location","source","target"
"msg_0","ワンロン占いの
リセット機能を追加しました。
[sync][wait][clear][end]","ワンロン占いの
リセット機能を追加しました。
[sync][wait][clear][end]"
"msg_1","ワンロン占いの効果をリセットしますか？
[end_choice][clear][end]","ワンロン占いの効果をリセットしますか？
[end_choice][clear][end]"
"msg_1_Choice1","はい",""
"msg_1_Choice2","いいえ",""
"msg_2","相性占いテスト用デバックイベント
実行しますか？
[end_choice][clear][end]","相性占いテスト用デバックイベント
実行しますか？
[end_choice][clear][end]"
"msg_2_Choice1","はい",""
"msg_2_Choice2","いいえ",""
"msg_3","１
２
３
４
５
６
７
８
９
１０
１１
１２
１３
１４
１５
１６
１７
１８
１９
２０
２１
２２
２３
２４
２５
２６
２７
２８
２９
３０
３１
３２
３３
３４
３５
３６
３７
３８
３９
４０
４１
４２
４３
４４
４５
４６
４７
４８
４９
５０
５１
５２
５３
５４
５５
５６
５７
５８
５９
６０
[end]","１
２
３
４
５
６
７
８
９
１０
１１
１２
１３
１４
１５
１６
１７
１８
１９
２０
２１
２２
２３
２４
２５
２６
２７
２８
２９
３０
３１
３２
３３
３４
３５
３６
３７
３８
３９
４０
４１
４２
４３
４４
４５
４６
４７
４８
４９
５０
５１
５２
５３
５４
５５
５６
５７
５８
５９
６０
[end]"
"msg_4","該当しない番号です。[wait][clear][end]","該当しない番号です。[wait][clear][end]"
"msg_5","達哉
の
相性を良くしました。[wait][clear][end]","達哉
の
相性を良くしました。[wait][clear][end]"
"msg_6","時間城伯爵
の
相性を良くしました。[wait][clear][end]","時間城伯爵
の
相性を良くしました。[wait][clear][end]"
"msg_7","うらら
の
相性を良くしました。[wait][clear][end]","うらら
の
相性を良くしました。[wait][clear][end]"
"msg_8","Ｍｒ．富
の
相性を良くしました。[wait][clear][end]","Ｍｒ．富
の
相性を良くしました。[wait][clear][end]"
"msg_9","チカリン
の
相性を良くしました。[wait][clear][end]","チカリン
の
相性を良くしました。[wait][clear][end]"
"msg_10","Ｗａｎｇｌｏｎｇ千鶴
の
相性を良くしました。[wait][clear][end]","Ｗａｎｇｌｏｎｇ千鶴
の
相性を良くしました。[wait][clear][end]"
"msg_11","珠閒瑠ジニー
の
相性を良くしました。[wait][clear][end]","珠閒瑠ジニー
の
相性を良くしました。[wait][clear][end]"
"msg_12","ハナジー
の
相性を良くしました。[wait][clear][end]","ハナジー
の
相性を良くしました。[wait][clear][end]"
"msg_13","板さん
の
相性を良くしました。[wait][clear][end]","板さん
の
相性を良くしました。[wait][clear][end]"
"msg_14","黎子さん
の
相性を良くしました。[wait][clear][end]","黎子さん
の
相性を良くしました。[wait][clear][end]"
"msg_15","佐々木
の
相性を良くしました。[wait][clear][end]","佐々木
の
相性を良くしました。[wait][clear][end]"
"msg_16","やる気の無いボーイ
の
相性を良くしました。[wait][clear][end]","やる気の無いボーイ
の
相性を良くしました。[wait][clear][end]"
"msg_17","レオ
の
相性を良くしました。[wait][clear][end]","レオ
の
相性を良くしました。[wait][clear][end]"
"msg_18","あんちゃん
の
相性を良くしました。[wait][clear][end]","あんちゃん
の
相性を良くしました。[wait][clear][end]"
"msg_19","杉本
の
相性を良くしました。[wait][clear][end]","杉本
の
相性を良くしました。[wait][clear][end]"
"msg_20","パオフゥ
の
相性を良くしました。[wait][clear][end]","パオフゥ
の
相性を良くしました。[wait][clear][end]"
"msg_21","バー
の
相性を良くしました。[wait][clear][end]","バー
の
相性を良くしました。[wait][clear][end]"
"msg_22","麻希
の
相性を良くしました。[wait][clear][end]","麻希
の
相性を良くしました。[wait][clear][end]"
"msg_23","轟所長
の
相性を良くしました。[wait][clear][end]","轟所長
の
相性を良くしました。[wait][clear][end]"
"msg_24","南条
の
相性を良くしました。[wait][clear][end]","南条
の
相性を良くしました。[wait][clear][end]"
"msg_25","ケン
の
相性を良くしました。[wait][clear][end]","ケン
の
相性を良くしました。[wait][clear][end]"
"msg_26","トリッシュ
の
相性を良くしました。[wait][clear][end]","トリッシュ
の
相性を良くしました。[wait][clear][end]"
"msg_27","トニー
の
相性を良くしました。[wait][clear][end]","トニー
の
相性を良くしました。[wait][clear][end]"
"msg_28","ブラウン
の
相性を良くしました。[wait][clear][end]","ブラウン
の
相性を良くしました。[wait][clear][end]"
"msg_29","たまき
の
相性を良くしました。[wait][clear][end]","たまき
の
相性を良くしました。[wait][clear][end]"
"msg_30","ムー大陸
の
相性を良くしました。[wait][clear][end]","ムー大陸
の
相性を良くしました。[wait][clear][end]"
"msg_31","リサ
の
相性を良くしました。[wait][clear][end]","リサ
の
相性を良くしました。[wait][clear][end]"
"msg_32","ロサカンディータ
の
相性を良くしました。[wait][clear][end]","ロサカンディータ
の
相性を良くしました。[wait][clear][end]"
"msg_33","しらいし
の
相性を良くしました。[wait][clear][end]","しらいし
の
相性を良くしました。[wait][clear][end]"
"msg_34","エステティシャン
の
相性を良くしました。[wait][clear][end]","エステティシャン
の
相性を良くしました。[wait][clear][end]"
"msg_35","ナナシ
の
相性を良くしました。[wait][clear][end]","ナナシ
の
相性を良くしました。[wait][clear][end]"
"msg_36","ゆきの
の
相性を良くしました。[wait][clear][end]","ゆきの
の
相性を良くしました。[wait][clear][end]"
