"location","source","target"
"msg_0","追加シナリオ用デバッグイベント[wait][clear][end]","추가시나리오용디버그이벤트[wait][clear][end]"
"msg_1","任意のシナリオから開始することができます。
[wait][clear][end]","임의의 시나리오부터 시작할 수 있습니다.
[wait][clear][end]"
"msg_2","[color(green)]シナリオセレクト[color(white)]
[end_choice][clear][end]","[color(green)]시나리오 선택[color(white)]
[end_choice][clear][end]"
"msg_2_Choice1","シナリオ１[tab]はじめから","시나리오1[tab]처음부터"
"msg_2_Choice2","シナリオ１チャプター２","시나리오1 챕터2"
"msg_2_Choice3","シナリオ１チャプター３","시나리오1 챕터3"
"msg_2_Choice4","シナリオ２はじめから","시나리오2 처음부터"
"msg_2_Choice5","シナリオ２チャプター２","시나리오2 챕터2"
"msg_2_Choice6","シナリオ２チャプター３","시나리오2 챕터3"
"msg_2_Choice7","シナリオ３はじめから","시나리오3 처음부터"
"msg_2_Choice8","シナリオ３チャプター２","시나리오3 챕터2"
"msg_2_Choice9","シナリオ３チャプター３","시나리오3 챕터3"
