"location","source","target"
"msg_0","パーティの人数が四人を超えています。
[wait][clear][end]","파티의 인원이 4명을 넘었습니다.
[wait][clear][end]"
"msg_1","[color(yellow)]うらら[color(white)]
こんな所でまであの顔を見るとは思わなかったわ…
おかげでなーんか落ち着いちゃったけど。
それにしても、売り物はどこから仕入れてるのかしら？
[sync][wait][clear][end]","[color(yellow)]우라라[color(white)]
이런 곳에서까지 그 얼굴을 볼 줄은 몰랐어…
덕분에 좀 진정이 되었지만.
그건 그렇고, 물건은 어디서 사들이고 있는 걸까?
[sync][wait][clear][end]"
"msg_2","[color(yellow)]克哉[color(white)]
何故ここにサトミタダシが！？それにあの女店主は？
以前に彼女らは７人姉妹だと聞いているんだが…
あそこにいるのは何者なんだ？
[wait][clear][end]","[color(yellow)]카츠야[color(white)]
어떻게 여기에 사토미 타다시가!? 그리고 그 여점주는?
전에 그녀들은 ７자매라고 들었는데…
저기 있는 건 누구지?
[wait][clear][end]"
"msg_3","[color(yellow)]パオフゥ[color(white)]
品揃えは他の店と一緒か、面白みがねぇな。
こんなヘンピなところにあるんだから、
地域限定品でもあれば客も…来ねぇかさすがに。
[wait][clear][end]","[color(yellow)]파오후[color(white)]
상품 목록은 다른 가게랑 같은 건가, 시시하구만.
이런 구석탱이에 있으니까,
지역 한정품이라도 있으면 손님도… 아무래도 안 오겠지.
[wait][clear][end]"
"msg_4","[color(yellow)]南条[color(white)]
・・・・・・・・・・・・
[wait][clear][end]","[color(yellow)]난조[color(white)]
・・・・・・・・・・・・
[wait][clear][end]"
"msg_5","[color(yellow)]エリー[color(white)]
・・・・・・・・・・・
[wait][clear][end]","[color(yellow)]에리[color(white)]
・・・・・・・・・・・
[wait][clear][end]"
"msg_6","[color(yellow)][tatsuya][color(white)]
これは…これも詩織さんの心の一部なのか？
…いや、違うな。これは全員の普遍的無意識とやらが
作り出したサトミタダシ…なのか。
[wait][clear][end]","[color(yellow)][tatsuya][color(white)]
이건…이것도 시로이 씨의 마음의 일부인 건가?
…아니, 그게 아냐. 이건 모두의 보편적 무의식인지 뭔지가
만들어낸 사토미 타다시… 인 건가.
[wait][clear][end]"
"msg_7","[color(yellow)]オバサン？[color(white)]
はいはい、いらいっしゃいませ～！！
今日も魅惑のサトミサウンドで客の心を鷲掴み！
そのまま来世まで持ってっちゃうわよ～うひょひょひょ！
[wait][clear][end]","[color(yellow)]아줌마?[color(white)]
자자, 어서 오세요~!!
오늘도 매혹의 사토미 사운드로 손님의 마음을 사로잡아서!
그대로 저승까지 가져가 버릴 거랍니다~우효효효!
[wait][clear][end]"
"msg_8","[color(yellow)]オバサン？[color(white)]
うひょひょひょ～
いらっしゃいま～せ～
[end_choice][clear][end]","[color(yellow)]아줌마?[color(white)]
우효효효~
어서 오세~ 요~
[end_choice][clear][end]"
"msg_8_Choice1","消費物を買う","소비품을 산다"
"msg_8_Choice2","アイテムを売る","아이템을 판다"
"msg_8_Choice3","話をする","대화한다"
"msg_8_Choice4","[if_all(EBIT_SINARIOFF)]アイテムの確認","[if_all(EBIT_SINARIOFF)]아이템 확인"
"msg_8_Choice5","やめる","그만둔다"
"msg_8_Choice6","店の外に出る","가게 밖으로 나간다"
"msg_9","[color(yellow)]オバサン？[color(white)]
さぁ、何を売りたいのかしらぁ？
[end_choice][clear][end]","[color(yellow)]아줌마？[color(white)]
자, 무엇을 팔고 싶은 거니?
[end_choice][clear][end]"
"msg_9_Choice1","[dbl_tab][if_all(EBIT_SINARIOFF)]非表示項目","[dbl_tab][if_all(EBIT_SINARIOFF)]비표시 항목"
"msg_9_Choice2","[dbl_tab]消費物を売る","[dbl_tab]소비품을 판다"
"msg_9_Choice3","[dbl_tab]武器を売る","[dbl_tab]무기를 판다"
